Lon,Lat,Count
4.7557007,52.3084231,1
4.7557125,52.3079513,1
4.7557189,52.3079199,1
4.7557253,52.3078669,1
4.7557499,52.3084748,1
4.7557831,52.3086031,1
4.7557852,52.3079716,1
4.7557863,52.3078832,1
4.7558002,52.3085259,1
4.7558099,52.3086326,1
4.755812,52.3084762,1
4.7558163,52.3079945,1
4.7558313,52.3079677,1
4.7558505,52.3086214,1
4.7558644,52.3084303,1
4.7558644,52.3084873,1
4.7558773,52.3085383,1
4.7558805,52.3085135,1
4.7558976,52.3080017,1
4.7559222,52.3079709,1
4.7559222,52.308558,1
4.7559287,52.308446,1
4.7559511,52.3085717,1
4.7559897,52.3084199,1
4.7560154,52.3084029,1
4.7560539,52.308609,1
4.7560785,52.3083623,1
4.7562744,52.3081574,2
4.7563804,52.3081228,2
4.7564767,52.3081116,2
4.7565195,52.3081339,2
4.7566351,52.3081797,2
4.7566704,52.3082,2
4.7567678,52.3082406,2
4.756801,52.3082484,2
4.7568449,52.3082831,1
4.7568952,52.3082785,1
4.7570386,52.3083289,1
4.7571018,52.308359,3
4.7571714,52.3083754,3
4.7573704,52.3084722,3
4.7574165,52.3092366,2
4.7574486,52.3085043,3
4.7574561,52.3092484,2
4.7578825,52.4085448,1
4.7579081,52.3660552,1
4.7581841,52.2876316,1
4.7582107,52.3093007,1
4.7582214,52.3093622,1
4.7582364,52.3092569,1
4.7582663,52.3093629,1
4.7582674,52.3093014,1
4.758276,52.3095003,1
4.758277,52.3094336,1
4.7582781,52.3095311,1
4.7582974,52.3093544,1
4.7583027,52.3088793,2
4.7583027,52.3094427,1
4.7583049,52.3093878,1
4.7583081,52.3092732,1
4.7583284,52.3094898,1
4.7583295,52.3092372,1
4.7583413,52.3094159,1
4.758352,52.3095121,1
4.7583595,52.3093812,1
4.7583734,52.3093204,1
4.7583841,52.3089225,2
4.7583958,52.3094761,1
4.758398,52.3092641,1
4.758398,52.3093367,1
4.7584076,52.309234,1
4.758413,52.3093557,1
4.758413,52.3094094,1
4.7584301,52.3092961,1
4.758459,52.3093851,1
4.7584676,52.30923,1
4.7584708,52.3093204,1
4.7584868,52.3092752,1
4.7585286,52.3093635,1
4.7585585,52.3092588,1
4.7586419,52.4071121,1
4.7590156,52.309198,3
4.7590926,52.309126,3
4.7591055,52.3092333,13
4.7591483,52.3090619,3
4.7591486,52.3836187,1
4.759159,52.3091548,3
4.7591783,52.3092687,13
4.7592446,52.3089532,3
4.7592494,52.3091006,3
4.7592532,52.3091862,3
4.7592939,52.3092988,13
4.7593406,52.3089888,3
4.7593515,52.3091398,3
4.7593645,52.3092372,13
4.759448,52.3091768,3
4.7594533,52.3090306,3
4.759463,52.3092726,13
